WHSE,DSP_LOCN,LOCN_PICK_SEQ,SKU_BRCD
1211,TBDL1,,86920036
1211,00 L10,,88330033
1211,nullR5,,86930053
1211,00 L8,,50011162
1211,TBDR20,,89055649
1211,TBDR22,,89066165
1211,TBDL17,,89054980
1211,00 L15,,65400369
1211,00 R4,,51050249
1211,00 L5,,50011160
1211,00 L10,,50011387
1211,00 L23,,13450014
1211,00 R2,,32100015
1211,00 R6,,32100111
1211,00 R3,,32100158
1211,00 R4,,32100138
1211,00 R11,,31100080
1211,00 R22,,31100239
1211,00 L25,,73150090
1211,00 R9,,32100048
1211,00 R2,,32100088
1211,00 R4,,32100028
1211,00 R3,,32100078
1211,00 R2,,32100027
1211,00 R22,,32901163
1211,00 R48,,32901149
1211,00 R9,,51100791
1211,00 R5,,51100793
1211,00 R8,,51100792
1211,00 R9,,31100249
1211,00 R5,,31100051
1211,00 R6,,31101629
1211,00 R1,,32901142
1211,00 R1,,31100254
1211,00 R6,,51050254
1211,00 R1,,32100026
1211,00 L3,,73010955
1211,00 R19,,31101718
1211,00 R13,,31100309
1211,00 R10,,31100310
1211,00 L12,,50011164
1211,00 L2,,73010009
1211,00 R7,,31100303
1211,00 L33,,50120025
1211,TBDL9,,61100039
1211,00 R23,,31100335
1211,00 L11,,50010369
1211,00 L9,,50011163
1211,00 R20,,31101138
1211,00 R7,,51100796
1211,00 L13,,8010123
1211,00 L2,,8051382
1211,00 L1,,8050786
1211,TBDR4,,8010495
1211,00 L9,,8010465
1211,00 L5,,8051377
1211,00 L14,,8050145
1211,00 L3,,8051376
1211,00 L10,,8051671
1211,00 L10,,8011900
1211,TBDR3,,8050750
1211,00 L12,,8050559
1211,00 L5,,8050236
1211,PRTBD3,,84730032
1211,00 R28,,5100007
1211,00 R30,,5100005
1211,00 L4,,18010018
1211,00 R29,,5100004
1211,00 L5,,36010485
1211,00 F31,,68010061
1211,TBDL12,,50350019
1211,00 L50,,50350019
1211,00 L49,,50300053
1211,TBDL13,,50300053
1211,TBDR101,,50300053
1211,TBDR52,,50350019
1211,LQL13,,89034546
1211,LQL12,,89031070
1211,LQL15,,89040075
1211,LQL16,,89030359
1211,LQL19,,89031284
1211,LQL18,,89030787
1211,LQL17,,89031462
1211,LQL14,,89040078
1211,00 R24,,27010462
1211,00 R23,,27010461
1211,TBDR41,,89050549
1211,00 R11,,53400327
1211,00 R12,,53401328
1211,TBDL19,,89063459
1211,TBDR8,,89056248
1211,TBDL11,,89056248
1211,TBDR22,,89061994
1211,TBDL6,,89055569
1211,00 L15,,14200023
1211,TBDL24,,90150170
1211,TBDL32,,90150171
1211,TBDL34,,62101572
1211,00 R11,,52250366
1211,TBDL39,,62101566
1211,TBDL40,,62100189
1211,TBDL5,,62101565
1211,00 R17,,89011110
1211,00 R16,,89014433
1211,TBDL38,,62101568
1211,LQR49,,89054296
1211,TBDR26,,89056614
1211,TBDR30,,59100010
1211,TBDR32,,59100012
1211,00 L16,,3200541
1211,TBDR17,,89062550
1211,00 L13,,50150091
1211,00 L9,,50150234
1211,00 L12,,50150212
1211,00 L5,,50150625
1211,00 L2,,50150006
1211,00 L11,,50150012
1211,00 L10,,50150254
1211,00 L32,,36300504
1211,00 L30,,36300501
1211,00 L29,,36300489
1211,TBDL27,,57600439
1211,TBDL28,,57600440
1211,TBDL29,,57600441
1211,00 L37,,36300120
1211,00 L38,,36300423
1211,00 L10,,36303438
1211,00 L17,,36300599
1211,00 L46,,19032966
1211,00 R20,,4100089
1211,00 R23,,4100689
1211,00 R24,,4100693
1211,00 L44,,19032967
1211,00 L47,,19032970
1211,00 L45,,19032968
1211,TBDTBD26,,88550393
1211,TBDL26,,88550393
1211,TBDTBD28,,88550398
1211,TBDL30,,88550398
1211,nullL34,,88650157
1211,TBDR24,,89062964
1211,00 R34,,5401066
1211,00 R24,,27105428
1211,00 L14,,14150539
